ID,TL,Web2,Group,Group2,Group3
ActiveSOM,1,Andres2016,SOM,SOM,SOM
Arbuscular mycorrhizal,1,CPER,Fungi,Fungi,
Blood,1,Koltz2018,Blood,Blood,
Detritus,1,CPER,Detritus,Detritus,
Detritus,1,Koltz2018,Detritus,Detritus,
Detritus,1,deRuiter1994,Detritus,Detritus,
Diatoms,1,Koltz2018,Diatoms,Diatoms,
HerbNem,1,deRuiter1994,PhytoNem,PhytoNem,
Amoeba,3.5,Andres2016,Amoebae,SingleCellPred,Amoebae
Lichen,1,Koltz2018,Lichen,Lichen,
Moss,1,Koltz2018,Plant,Plant,
Pollen,1,Koltz2018,Plant,Plant,
Amoebae,3.5,Holtkamp2011,Amoebae,SingleCellPred,Amoebae
Bacteria,2,Andres2016,Bacteria,Bacteria,Bacteria
Roots,1,CPER,Roots,Roots,
Roots,1,Koltz2018,Roots,Roots,
Bacteria,2,Holtkamp2011,Bacteria,Bacteria,Bacteria
Bacteriophagousnematodes,3,Andres2016,BactNem,Nematodes,BactNem
VascularPlants.aboveground.tissue,1,Koltz2018,Plant,Plant,
BactNem,3,Holtkamp2011,BactNem,Nematodes,BactNem
Ciliates,3.625,Andres2016,Ciliates,SingleCellPred,Ciliates
Bacteria,2,CPER,Bacteria,Bacteria,
Bacteria,2,Koltz2018,Bacteria,Bacteria,
Bacteria,2,deRuiter1994,Bacteria,Bacteria,
Collembolans,3,Andres2016,Collembola,Collembola,FungCol
BitingFlies,2,Koltz2018,BitingFlies,BitingFlies,
Earthworm,2,deRuiter1994,Earthworm,Earthworm,
Enchytraeids,2,Holtkamp2011,Enchytraeids,Enchytraeids,Enchytraeids
Flagellates,3,Andres2016,Flagellates,SingleCellPred,Flagellates
Fungi,2,Koltz2018,Fungi,Fungi,
Fungi,2,deRuiter1994,Fungi,Fungi,
Flagellates,3,Holtkamp2011,Flagellates,SingleCellPred,Flagellates
HerbivorousTrueBugs,2,Koltz2018,Herbivores,Herbivores,
Lepidoptera,2,Koltz2018,Herbivores,Herbivores,
NonbitingMidges,2,Koltz2018,NonbitingMidges,NonbitingMidges,
FungColl,3,Holtkamp2011,Collembola,Collembola,FungCol
FungCryAdultMite,3,Holtkamp2011,Mite,Mite,CryMite
Phytophagous nematodes,2,CPER,PhytoNem,Nematodes,
PhytophagousNematodes,2,Koltz2018,PhytoNem,Nematodes,
Saprobic fungi,2,CPER,Fungi,Fungi,
SaprophagousDiptera,2.25,Koltz2018,SaprophagousDiptera,SaprophagousDiptera,
HerbivorousFlies,2.4,Koltz2018,Herbivores,Herbivores,
Collembola,2.5,CPER,Collembola,Collembola,
CollembolaSoil,2.5,Koltz2018,Collembola,Collembola,
CraneFlies,2.5,Koltz2018,CraneFlies,CraneFlies,
CryptostigmaticMites,2.5,Koltz2018,Mite,Mite,
Cryptostigmatid mites,2.5,CPER,Mite,Mite,
Ench,2.5,deRuiter1994,Enchytraeids,Enchytraeids,
Fungivorous nematodes,2.5,CPER,FungNem,Nematodes,
FungivorousNematodes,2.5,Koltz2018,FungNem,Nematodes,
NonCryptostigmaticMites,2.5,Koltz2018,Mite,Mite,
Non-cryptostigmatid,2.5,CPER,Mite,Mite,
SurfaceCollembola,2.5,Koltz2018,Collembola,Collembola,
Enchytraeids,2.666666667,Koltz2018,Enchytraeids,Enchytraeids,
FungCryJuvMite,3,Holtkamp2011,Mite,Mite,CryJuvMite
Bacteriophagous Nematodes,3,CPER,BactNem,Nematodes,
BacteriophagousNematodes,3,Koltz2018,BactNem,Nematodes,
Bactmite,3,deRuiter1994,Mite,Mite,
BactNem,3,deRuiter1994,BactNem,Nematodes,
Fungi,2,Andres2016,Fungi,Fungi,Fungi
Fungi,2,Holtkamp2011,Fungi,Fungi,Fungi
Crypmite,3,deRuiter1994,Mite,Mite,
FungivorousCryptostigmata,3,Andres2016,Mite,Mite,CryMite
Flagellates,3,CPER,Flagellates,SingleCellPred,
Flagellates,3,Koltz2018,Flagellates,SingleCellPred,
Flagellates,3,deRuiter1994,Flagellates,SingleCellPred,
Fungivorousnematodes,3,Andres2016,FungNem,Nematodes,FungNem
Fungcoll,3,deRuiter1994,Collembola,Collembola,
FungivorousProstigmata,3,Andres2016,Mite,Mite,NonCryMite
FungNem,3,Holtkamp2011,FungNem,Nematodes,FungNem
FungNoncryMite,3,Holtkamp2011,Mite,Mite,NonCryMite
LabileOM,1,Holtkamp2011,SOM,SOM,SOM
Nematophagousmites,4.2078125,Andres2016,Mite,Mite,NemMite
NemMite,4.1375,Holtkamp2011,Mite,Mite,NemMite
FungNem,3,deRuiter1994,FungNem,Nematodes,
OmniNem,3.75,Holtkamp2011,OmniNem,Nematodes,OmniNem
Omnivorousnematodes,4.03125,Andres2016,OmniNem,Nematodes,OmniNem
Ncrypmite,3,deRuiter1994,Mite,Mite,
PhytoNem,2,Holtkamp2011,PhytoNem,Nematodes,PhytoNem
Phytophagousnematodes,2,Andres2016,PhytoNem,Nematodes,PhytoNem
CanopyWebSpiders,3.489650699,Koltz2018,Pred,Pred,
Predaceousdilurans,4,Andres2016,Pred,Pred,Dilurans
Amoebae,3.5,CPER,Amoebae,SingleCellPred,
Amoebae,3.5,Koltz2018,Amoebae,SingleCellPred,
Amoebae,3.5,deRuiter1994,Amoebae,SingleCellPred,
Predaceousmites,4.227475248,Andres2016,Mite,Mite,PredMite
Rotifers,3.5,Koltz2018,Pred,Pred,
PredNem,3.583333333,deRuiter1994,PredNem,Nematodes,
Predaceousnematodes,4.0078125,Andres2016,PredNem,Nematodes,PredNem
SurfaceWebSpiders,3.63794181,Koltz2018,Pred,Pred,
Nemmite,3.645833333,deRuiter1994,Mite,Mite,
Predcoll,3.645833333,deRuiter1994,Collembola,Collembola,
PredaceousBeetles,3.717074492,Koltz2018,Pred,Pred,
PredColl,4.0859375,Holtkamp2011,Collembola,Collembola,PredCol
ParasiticWasps,3.767205592,Koltz2018,ParasiticWasps,ParasiticWasps,
Omnivorous nematodes,3.833333333,CPER,OmniNem,Nematodes,
OmnivorousNematodes,3.833333333,Koltz2018,OmniNem,Nematodes,
Predatory nematodes,3.833333333,CPER,PredNem,Nematodes,
OtherSurfaceActiveSpiders,3.892237835,Koltz2018,Pred,Pred,
WolfSpiders,3.892237835,Koltz2018,Pred,Pred,
Tardigrades,3.898148148,Koltz2018,Pred,Pred,
PredMite,4.29109375,Holtkamp2011,Mite,Mite,PredMite
CrabSpiders,3.943790126,Koltz2018,Pred,Pred,
Predatory mites,3.966666667,CPER,Mite,Mite,
Predmite,3.9875,deRuiter1994,Mite,Mite,
PredNem,3.9375,Holtkamp2011,PredNem,Nematodes,PredNem
Proturans,3,Andres2016,Pred,Pred,Proturans
RecalOM,1,Holtkamp2011,SOM,SOM,SOM
Nematophagous mites,4.033333333,CPER,Mite,Mite,
PredatoryNematodes,4.055555556,Koltz2018,PredNem,Nematodes,
Roots,1,Andres2016,Roots,Roots,Roots
PredatoryMites,4.100154321,Koltz2018,Mite,Mite,
Roots,1,Holtkamp2011,Roots,Roots,Roots
Cilliates,4.166666667,Koltz2018,Ciliates,SingleCellPred,
SlowSOM,1,Andres2016,SOM,SOM,SOM
NematophagousMites,4.214506173,Koltz2018,Mite,Mite,
Symphyla,3,Andres2016,Pred,Pred,Symphyla
WaterSolubleSugars,1,Holtkamp2011,SOM,SOM,SOM
